id_customer,merchant_name,id_order,order_date,order_total_paid,order_delivery_fee,order_total_promo,order_tip,order_year,order_normal_price,deliveroo_plus
742,deliveroo,27302506,2018-10-02,15.56,0.0,0.0,0.0,2018,15.56,1
742,deliveroo,30134054,2018-10-30,36.18,0.0,0.0,0.0,2018,36.18,1
742,deliveroo,31304028,2018-11-06,15.02,0.0,0.0,0.0,2018,15.02,1
742,deliveroo,32299573,2018-11-19,17.37,0.0,0.0,0.0,2018,17.37,1
742,deliveroo,32365383,2018-11-23,27.14,0.0,0.0,0.0,2018,27.14,1
742,deliveroo,33297117,2018-12-02,27.2,0.0,0.0,0.0,2018,27.2,1
855,deliveroo,43869348,2019-03-03,20.57,0.0,0.0,0.0,2019,20.57,1
855,deliveroo,44248291,2019-03-10,23.28,0.0,0.0,0.0,2019,23.28,1
969,deliveroo,27301356,2018-10-02,17.39,0.0,0.0,0.0,2018,17.39,1
969,deliveroo,27784692,2018-10-12,19.35,0.0,0.0,0.0,2018,19.35,1
969,deliveroo,27784693,2018-09-26,15.06,0.0,0.0,0.0,2018,15.06,1
969,deliveroo,27784694,2018-09-13,16.32,0.0,0.0,0.0,2018,16.32,1
969,deliveroo,27784695,2018-09-11,14.08,0.0,0.0,0.0,2018,14.08,1
969,deliveroo,27784696,2018-09-07,17.14,0.0,0.0,0.0,2018,17.14,1
969,deliveroo,27784697,2018-09-03,17.08,0.0,0.0,0.0,2018,17.08,1
969,deliveroo,33893822,2018-12-14,17.17,0.0,0.0,0.0,2018,17.17,1
969,deliveroo,36564422,2019-01-08,18.3,0.0,4.18,0.0,2019,22.48,1
969,deliveroo,40121965,2019-01-29,16.17,0.0,0.0,0.0,2019,16.17,1
969,deliveroo,43560724,2019-02-25,16.2,0.0,0.0,0.0,2019,16.2,1
969,deliveroo,44248508,2019-03-08,35.52,0.0,0.0,0.0,2019,35.52,1
969,deliveroo,44248512,2019-03-08,14.94,0.0,0.0,0.0,2019,14.94,1
969,deliveroo,44248515,2019-03-07,29.73,0.0,0.0,0.0,2019,29.73,1
969,deliveroo,44248516,2019-03-06,15.25,0.0,3.8,0.0,2019,19.05,1
969,deliveroo,44250500,2019-03-12,17.02,0.0,4.0,0.0,2019,21.02,1
969,deliveroo,44250502,2019-03-11,14.35,0.0,3.26,0.0,2019,17.61,1
969,deliveroo,44582963,2019-03-13,26.79,0.0,2.5,0.0,2019,29.29,1
969,deliveroo,44582964,2019-03-12,19.97,0.0,5.22,0.0,2019,25.189999999999998,1
969,deliveroo,45036974,2019-03-14,12.23,0.0,0.0,0.0,2019,12.23,1
969,deliveroo,45214031,2019-03-21,20.38,0.0,3.73,0.0,2019,24.11,1
969,deliveroo,45214032,2019-03-21,13.57,0.0,0.0,0.0,2019,13.57,1
969,deliveroo,45214033,2019-03-20,15.3,0.0,1.74,0.0,2019,17.04,1
969,deliveroo,45214037,2019-03-22,20.44,0.0,0.0,0.0,2019,20.44,1
969,deliveroo,45398226,2019-03-25,13.98,0.0,0.0,0.0,2019,13.98,1
969,deliveroo,45714731,2019-03-26,15.54,0.0,2.83,0.0,2019,18.369999999999997,1
969,deliveroo,45714732,2019-03-26,18.36,0.0,0.0,0.0,2019,18.36,1
1012,deliveroo,27300788,2018-10-05,24.32,0.0,0.0,0.0,2018,24.32,1
1012,deliveroo,27300790,2018-10-07,30.04,0.0,0.0,0.0,2018,30.04,1
1012,deliveroo,27461420,2018-10-10,18.51,0.0,0.0,0.0,2018,18.51,1
1012,deliveroo,27784103,2018-09-22,24.17,0.0,0.0,0.0,2018,24.17,1
1012,deliveroo,27784104,2018-09-21,18.98,0.0,0.0,0.0,2018,18.98,1
1012,deliveroo,28125646,2018-10-14,19.57,0.0,5.0,0.0,2018,24.57,1
1012,deliveroo,28287549,2018-10-15,17.76,0.0,0.0,0.0,2018,17.76,1
1012,deliveroo,28409597,2018-10-16,20.34,0.0,0.0,0.0,2018,20.34,1
1012,deliveroo,28536702,2018-10-18,20.63,0.0,0.0,0.0,2018,20.63,1
1012,deliveroo,28637862,2018-10-19,17.77,0.0,0.0,0.0,2018,17.77,1
